     TotalZoneNumber           NParticle        CumulativeNP     CumulativeRatio
                 401              100000        8.700573e+06        8.700573e+01
                 402              100000        8.708010e+06        8.708010e+01
                 403              100000        8.715432e+06        8.715432e+01
                 404              100000        8.722840e+06        8.722840e+01
                 405              100000        8.730234e+06        8.730234e+01
                 406              100000        8.737615e+06        8.737615e+01
                 407              100000        8.744982e+06        8.744982e+01
                 408              100000        8.752335e+06        8.752335e+01
                 409              100000        8.759674e+06        8.759674e+01
                 410              100000        8.767000e+06        8.767000e+01
                 411              100000        8.774313e+06        8.774313e+01
                 412              100000        8.781611e+06        8.781611e+01
                 413              100000        8.788897e+06        8.788897e+01
                 414              100000        8.796169e+06        8.796169e+01
                 415              100000        8.803428e+06        8.803428e+01
                 416              100000        8.810674e+06        8.810674e+01
                 417              100000        8.817906e+06        8.817906e+01
                 418              100000        8.825126e+06        8.825126e+01
                 419              100000        8.832332e+06        8.832332e+01
                 420              100000        8.839525e+06        8.839525e+01
                 421              100000        8.846706e+06        8.846706e+01
                 422              100000        8.853873e+06        8.853873e+01
                 423              100000        8.861028e+06        8.861028e+01
                 424              100000        8.868169e+06        8.868169e+01
                 425              100000        8.875298e+06        8.875298e+01
                 426              100000        8.882415e+06        8.882415e+01
                 427              100000        8.889518e+06        8.889518e+01
                 428              100000        8.896610e+06        8.896610e+01
                 429              100000        8.903688e+06        8.903688e+01
                 430              100000        8.910754e+06        8.910754e+01
                 431              100000        8.917808e+06        8.917808e+01
                 432              100000        8.924849e+06        8.924849e+01
                 433              100000        8.931878e+06        8.931878e+01
                 434              100000        8.938895e+06        8.938895e+01
                 435              100000        8.945899e+06        8.945899e+01
                 436              100000        8.952891e+06        8.952891e+01
                 437              100000        8.959872e+06        8.959872e+01
                 438              100000        8.966840e+06        8.966840e+01
                 439              100000        8.973796e+06        8.973796e+01
                 440              100000        8.980740e+06        8.980740e+01
                 441              100000        8.987672e+06        8.987672e+01
                 442              100000        8.994592e+06        8.994592e+01
                 443              100000        9.001500e+06        9.001500e+01
                 444              100000        9.008397e+06        9.008397e+01
                 445              100000        9.015281e+06        9.015281e+01
                 446              100000        9.022154e+06        9.022154e+01
                 447              100000        9.029016e+06        9.029016e+01
                 448              100000        9.035865e+06        9.035865e+01
                 449              100000        9.042704e+06        9.042704e+01
                 450              100000        9.049530e+06        9.049530e+01
                 451              100000        9.056345e+06        9.056345e+01
                 452              100000        9.063149e+06        9.063149e+01
                 453              100000        9.069941e+06        9.069941e+01
                 454              100000        9.076722e+06        9.076722e+01
                 455              100000        9.083492e+06        9.083492e+01
                 456              100000        9.090251e+06        9.090251e+01
                 457              100000        9.096998e+06        9.096998e+01
                 458              100000        9.103734e+06        9.103734e+01
                 459              100000        9.110459e+06        9.110459e+01
                 460              100000        9.117172e+06        9.117172e+01
                 461              100000        9.123875e+06        9.123875e+01
                 462              100000        9.130567e+06        9.130567e+01
                 463              100000        9.137248e+06        9.137248e+01
                 464              100000        9.143918e+06        9.143918e+01
                 465              100000        9.150577e+06        9.150577e+01
                 466              100000        9.157225e+06        9.157225e+01
                 467              100000        9.163862e+06        9.163862e+01
                 468              100000        9.170489e+06        9.170489e+01
                 469              100000        9.177104e+06        9.177104e+01
                 470              100000        9.183710e+06        9.183710e+01
                 471              100000        9.190304e+06        9.190304e+01
                 472              100000        9.196888e+06        9.196888e+01
                 473              100000        9.203461e+06        9.203461e+01
                 474              100000        9.210024e+06        9.210024e+01
                 475              100000        9.216577e+06        9.216577e+01
                 476              100000        9.223119e+06        9.223119e+01
                 477              100000        9.229650e+06        9.229650e+01
                 478              100000        9.236171e+06        9.236171e+01
                 479              100000        9.242682e+06        9.242682e+01
                 480              100000        9.249182e+06        9.249182e+01
                 481              100000        9.255673e+06        9.255673e+01
                 482              100000        9.262153e+06        9.262153e+01
                 483              100000        9.268623e+06        9.268623e+01
                 484              100000        9.275082e+06        9.275082e+01
                 485              100000        9.281532e+06        9.281532e+01
                 486              100000        9.287971e+06        9.287971e+01
                 487              100000        9.294401e+06        9.294401e+01
                 488              100000        9.300820e+06        9.300820e+01
                 489              100000        9.307230e+06        9.307230e+01
                 490              100000        9.313630e+06        9.313630e+01
                 491              100000        9.320019e+06        9.320019e+01
                 492              100000        9.326399e+06        9.326399e+01
                 493              100000        9.332769e+06        9.332769e+01
                 494              100000        9.339130e+06        9.339130e+01
                 495              100000        9.345480e+06        9.345480e+01
                 496              100000        9.351821e+06        9.351821e+01
                 497              100000        9.358152e+06        9.358152e+01
                 498              100000        9.364473e+06        9.364473e+01
                 499              100000        9.370785e+06        9.370785e+01
                 500              100000        9.377088e+06        9.377088e+01
                 501              100000        9.383380e+06        9.383380e+01
                 502              100000        9.389663e+06        9.389663e+01
                 503              100000        9.395937e+06        9.395937e+01
                 504              100000        9.402201e+06        9.402201e+01
                 505              100000        9.408456e+06        9.408456e+01
                 506              100000        9.414702e+06        9.414702e+01
                 507              100000        9.420938e+06        9.420938e+01
                 508              100000        9.427165e+06        9.427165e+01
                 509              100000        9.433382e+06        9.433382e+01
                 510              100000        9.439590e+06        9.439590e+01
                 511              100000        9.445790e+06        9.445790e+01
                 512              100000        9.451979e+06        9.451979e+01
                 513              100000        9.458160e+06        9.458160e+01
                 514              100000        9.464332e+06        9.464332e+01
                 515              100000        9.470494e+06        9.470494e+01
                 516              100000        9.476648e+06        9.476648e+01
                 517              100000        9.482792e+06        9.482792e+01
                 518              100000        9.488927e+06        9.488927e+01
                 519              100000        9.495054e+06        9.495054e+01
                 520              100000        9.501171e+06        9.501171e+01
                 521              100000        9.507280e+06        9.507280e+01
                 522              100000        9.513379e+06        9.513379e+01
                 523              100000        9.519470e+06        9.519470e+01
                 524              100000        9.525552e+06        9.525552e+01
                 525              100000        9.531625e+06        9.531625e+01
                 526              100000        9.537690e+06        9.537690e+01
                 527              100000        9.543745e+06        9.543745e+01
                 528              100000        9.549792e+06        9.549792e+01
                 529              100000        9.555831e+06        9.555831e+01
                 530              100000        9.561860e+06        9.561860e+01
                 531              100000        9.567881e+06        9.567881e+01
                 532              100000        9.573894e+06        9.573894e+01
                 533              100000        9.579898e+06        9.579898e+01
                 534              100000        9.585893e+06        9.585893e+01
                 535              100000        9.591880e+06        9.591880e+01
                 536              100000        9.597858e+06        9.597858e+01
                 537              100000        9.603828e+06        9.603828e+01
                 538              100000        9.609790e+06        9.609790e+01
                 539              100000        9.615743e+06        9.615743e+01
                 540              100000        9.621687e+06        9.621687e+01
                 541              100000        9.627624e+06        9.627624e+01
                 542              100000        9.633552e+06        9.633552e+01
                 543              100000        9.639472e+06        9.639472e+01
                 544              100000        9.645383e+06        9.645383e+01
                 545              100000        9.651286e+06        9.651286e+01
                 546              100000        9.657181e+06        9.657181e+01
                 547              100000        9.663068e+06        9.663068e+01
                 548              100000        9.668947e+06        9.668947e+01
                 549              100000        9.674818e+06        9.674818e+01
                 550              100000        9.680680e+06        9.680680e+01
                 551              100000        9.686535e+06        9.686535e+01
                 552              100000        9.692381e+06        9.692381e+01
                 553              100000        9.698219e+06        9.698219e+01
                 554              100000        9.704050e+06        9.704050e+01
